k,inertia,silhouette
2,37.09587097167969,0.8643245
3,17.202577590942383,0.7836215
4,12.053709030151367,0.678722
5,8.381367683410645,0.46902165
6,7.381838798522949,0.4337092
7,6.626858234405518,0.30888224
8,5.710069179534912,0.2558222
9,4.914738178253174,0.22813547
10,4.396505832672119,0.2058551
11,4.0255608558654785,0.20821331
12,3.680142879486084,0.21662943
13,3.44865083694458,0.17935257
14,3.102200984954834,0.17991523
15,2.9639878273010254,0.15975672
16,2.6897172927856445,0.21752976
17,2.509859561920166,0.17702065
18,2.1556777954101562,0.19271523
19,1.9548972845077515,0.17069827
20,1.8244962692260742,0.1336843
21,1.5601189136505127,0.18996228
22,1.3748513460159302,0.19971992
23,1.2537927627563477,0.16086434
