sequence_index,cluster
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,0
13,2
14,2
15,2
16,2
17,2
18,2
19,0
20,2
21,2
22,0
23,0
24,0
25,2
26,2
27,2
28,0
29,2
30,0
31,0
32,2
33,0
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,0
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,0
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,0
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,0
67,0
68,2
69,2
70,2
71,2
72,0
73,2
74,2
75,2
76,2
77,0
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,0
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,0
98,0
99,2
100,0
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,0
112,2
113,2
114,2
115,0
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,0
135,2
136,2
137,2
138,0
139,2
140,2
141,2
142,0
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,0
158,2
159,2
162,0
163,0
165,1
166,0
167,2
170,1
174,1
175,0
176,0
179,2
181,1
183,1
184,1
185,0
188,0
189,0
192,1
193,1
197,1
199,2
201,0
202,0
203,1
206,2
208,0
209,1
210,2
212,0
214,0
215,0
216,1
217,2
218,0
222,1
223,0
226,0
227,0
229,1
230,1
233,2
234,1
235,0
236,0
237,2
239,2
240,1
242,0
243,0
244,0
245,2
246,2
247,2
249,0
250,1
252,0
253,0
254,2
255,1
256,0
257,2
258,0
259,2
260,0
262,2
263,0
264,0
265,0
266,2
267,0
268,2
270,0
