k,inertia,silhouette
2,59.057926177978516,0.8011177
3,40.72575378417969,0.7046914
4,29.400819778442383,0.5912126
5,23.137420654296875,0.3601087
6,17.14589500427246,0.40168387
7,13.653253555297852,0.4362088
8,10.780462265014648,0.4225668
9,9.272611618041992,0.38506642
10,8.14177131652832,0.4038624
11,7.100405216217041,0.39119124
12,6.261404514312744,0.38765916
13,5.644038200378418,0.3548928
14,5.109726905822754,0.36497936
15,4.607206344604492,0.3060524
16,4.312916278839111,0.3368711
17,3.9135680198669434,0.27802917
18,3.3282723426818848,0.27902898
19,3.044583797454834,0.25078288
20,2.758939266204834,0.27017078
21,2.3780503273010254,0.24645396
22,2.100881576538086,0.25259933
23,1.9085311889648438,0.2430481
