k,inertia,silhouette
2,423.6276550292969,0.83682305
3,151.38230895996094,0.8412514
4,126.90534973144531,0.30395618
5,107.0904312133789,0.31205383
6,94.78717803955078,0.26863065
7,86.92704772949219,0.23070383
8,81.7110366821289,0.21133527
9,77.31103515625,0.22208203
10,74.13919067382812,0.21852732
11,69.97532653808594,0.18850276
12,66.49256896972656,0.204258
13,63.875587463378906,0.21198714
14,61.195499420166016,0.1909801
15,59.236839294433594,0.20736991
16,56.5738410949707,0.18843792
17,54.54036331176758,0.18338628
18,51.64487838745117,0.1959919
19,51.01345443725586,0.18167002
20,47.99464416503906,0.21348068
21,46.65972137451172,0.18993828
22,45.14685821533203,0.19173774
23,43.73565673828125,0.18690848
