k,inertia,silhouette
2,229.56675720214844,0.8168296
3,93.25260925292969,0.84028167
4,29.324295043945312,0.8223214
5,13.451204299926758,0.8068669
6,8.569613456726074,0.76387364
7,6.508809566497803,0.6634443
8,5.1638336181640625,0.62784976
9,4.3830461502075195,0.36556262
10,3.6571595668792725,0.2631255
11,3.106032133102417,0.23058331
12,2.8453872203826904,0.2215106
13,2.4667530059814453,0.1588489
14,2.141630172729492,0.17709923
15,1.9611501693725586,0.151962
16,1.7085840702056885,0.15815063
17,1.503004789352417,0.1557472
18,1.306131362915039,0.13024509
19,1.2372663021087646,0.113006495
20,1.1042943000793457,0.12091683
21,0.9771784543991089,0.103819706
22,0.9062058925628662,0.10187682
23,0.7907629609107971,0.08842173
