k,inertia,silhouette
2,84.50983428955078,0.93479514
3,31.70603370666504,0.89280087
4,27.755077362060547,0.34343684
5,24.190536499023438,0.34086832
6,20.725208282470703,0.33728784
7,18.34319305419922,0.2658342
8,16.657381057739258,0.2753041
9,15.493398666381836,0.18101424
10,14.151463508605957,0.17522673
11,13.257078170776367,0.17036365
12,12.659723281860352,0.15724088
13,12.159843444824219,0.14290166
14,11.636791229248047,0.108880356
15,10.970294952392578,0.12342605
16,10.512516975402832,0.124265544
17,10.154815673828125,0.1247506
18,9.840982437133789,0.12384774
19,9.40241813659668,0.117479734
20,8.922048568725586,0.12090898
21,8.884376525878906,0.11460377
22,8.494766235351562,0.112536445
23,8.186408996582031,0.115247965
