k,inertia,silhouette
2,293.209228515625,0.8206744
3,182.42469787597656,0.69841474
4,144.64288330078125,0.6579404
5,125.18302917480469,0.67087466
6,116.64508819580078,0.664641
7,96.11076354980469,0.65227664
8,88.16790771484375,0.3005033
9,80.1239013671875,0.28373468
10,72.27667999267578,0.30863377
11,65.25503540039062,0.3180719
12,63.44290542602539,0.26536188
13,60.292449951171875,0.2395317
14,56.85544204711914,0.30886963
15,53.74132537841797,0.28783843
16,52.1300048828125,0.17542498
17,48.84578323364258,0.2845752
18,46.00981903076172,0.17579983
19,44.16411590576172,0.18209562
20,42.52891540527344,0.17503184
21,40.70380783081055,0.17289436
22,39.04562759399414,0.16782191
23,36.452972412109375,0.1700135
