sequence_index,cluster
153,0
155,1
159,1
160,1
161,1
162,0
163,1
164,1
166,1
167,0
168,1
169,1
170,0
172,0
173,1
174,0
176,0
177,1
179,0
181,0
182,1
183,1
185,0
186,1
189,0
190,1
191,1
192,0
193,0
195,0
196,1
198,1
199,0
200,0
201,0
202,1
204,0
206,1
207,0
208,1
209,0
210,1
214,0
215,0
216,1
217,1
219,0
220,0
222,1
223,0
225,0
226,1
227,1
230,0
231,0
233,0
234,1
235,0
236,0
237,0
238,1
240,1
242,1
243,1
244,1
246,1
248,0
249,1
250,1
251,0
253,0
254,0
255,1
256,1
258,0
260,1
261,2
263,2
265,2
266,2
268,1
269,0
270,0
271,0
272,0
273,0
275,0
276,2
277,2
278,2
279,1
280,1
284,1
285,1
286,2
288,0
290,0
291,1
292,0
293,0
298,1
299,0
300,1
301,1
302,2
303,2
304,1
308,2
309,2
310,1
312,2
313,2
315,2
317,2
319,1
320,0
321,0
322,2
324,0
326,1
327,2
328,0
329,0
330,1
331,2
333,0
334,0
335,0
336,2
339,2
340,2
341,2
345,1
346,1
349,0
350,1
351,0
353,2
355,2
357,0
358,0
360,1
361,1
362,2
366,1
367,2
