sequence_index,cluster
151,0
152,0
153,0
154,0
155,0
157,0
158,0
160,1
163,1
165,1
168,2
169,1
170,0
171,0
173,0
175,0
176,1
179,1
182,1
183,1
184,0
185,0
186,0
187,0
191,0
192,1
194,0
195,0
197,1
198,0
199,0
202,0
204,0
205,1
206,2
207,0
209,0
210,0
213,2
214,0
215,0
216,0
218,2
221,0
224,1
226,1
227,1
229,2
232,2
234,0
235,0
237,0
238,0
241,0
242,1
243,0
244,0
245,2
246,0
247,0
248,0
250,0
251,0
253,0
254,0
255,0
257,0
260,0
262,0
263,0
265,2
267,0
270,2
272,1
273,0
274,0
275,0
276,0
277,1
278,0
279,1
283,0
284,1
285,0
286,0
288,0
289,0
290,0
291,0
292,0
294,1
295,1
296,0
297,2
298,1
300,0
301,2
302,1
303,1
304,2
305,0
307,1
308,2
309,0
