k,inertia,silhouette
2,140.724853515625,0.82358354
3,90.97505950927734,0.7129635
4,72.3508529663086,0.65459293
5,54.89626693725586,0.6631264
6,39.04945373535156,0.6858884
7,23.939685821533203,0.69886154
8,19.029512405395508,0.69930255
9,17.20477294921875,0.36898872
10,15.314921379089355,0.36107847
11,13.846860885620117,0.34873545
12,12.595552444458008,0.31974262
13,11.91293716430664,0.3115509
14,10.93403434753418,0.30322245
15,10.337162017822266,0.30176088
16,9.634664535522461,0.29663152
17,9.036500930786133,0.26768523
18,8.517419815063477,0.264878
19,8.096818923950195,0.2606627
20,7.677303314208984,0.25517637
21,6.997978687286377,0.26032317
22,6.8400983810424805,0.23483768
23,6.231509208679199,0.26172358
