k,inertia,silhouette
2,232.5314483642578,0.83313566
3,97.39571380615234,0.78026766
4,70.15399169921875,0.61911
5,61.39426803588867,0.5898128
6,53.204978942871094,0.23897265
7,48.88960266113281,0.23988925
8,44.931434631347656,0.23078366
9,41.11886215209961,0.2260313
10,37.80399703979492,0.1985286
11,35.59457015991211,0.19693205
12,32.87624740600586,0.2133659
13,31.22564125061035,0.20596336
14,30.156770706176758,0.20327997
15,28.43099594116211,0.198381
16,26.95467758178711,0.20866098
17,25.648296356201172,0.2072106
18,25.002178192138672,0.17701441
19,24.230520248413086,0.19029841
20,23.555438995361328,0.20164894
21,22.11583709716797,0.19145761
22,21.709924697875977,0.17656481
23,20.513973236083984,0.18934879
