k,inertia,silhouette
2,332.154541015625,0.839064
3,146.79925537109375,0.79970723
4,119.7939682006836,0.66221356
5,96.8285140991211,0.6375882
6,83.32243347167969,0.6348198
7,75.51362609863281,0.21555957
8,71.22993469238281,0.2142545
9,66.35884857177734,0.20498699
10,62.819122314453125,0.18960404
11,59.68825912475586,0.17820686
12,55.274932861328125,0.19564486
13,52.614070892333984,0.20453526
14,51.21455383300781,0.18836227
15,48.84872817993164,0.16303302
16,46.19264221191406,0.17997222
17,45.02012252807617,0.15743332
18,44.25002670288086,0.17754018
19,42.996212005615234,0.13617116
20,40.338951110839844,0.17759484
21,39.35867691040039,0.15816933
22,38.28219223022461,0.15712526
23,36.43647384643555,0.15909153
