sequence_index,cluster
0,2
1,1
3,2
5,0
6,2
8,2
9,1
10,1
11,1
12,1
13,2
14,1
15,1
16,2
17,2
18,0
19,2
21,2
28,2
29,2
30,2
39,2
40,2
51,2
52,2
53,2
60,2
61,0
73,2
93,2
96,2
106,2
109,2
113,2
115,2
116,2
117,2
126,2
127,2
130,2
135,2
136,2
137,2
143,2
144,2
150,2
151,2
156,2
157,2
158,2
160,2
164,2
165,2
166,2
167,2
171,2
173,2
176,2
177,2
179,2
187,2
190,2
200,2
202,1
204,2
205,1
207,0
209,1
213,2
215,2
217,1
219,1
220,0
221,1
224,1
225,2
227,2
228,0
232,1
233,2
234,0
238,1
239,2
241,1
242,0
243,2
245,1
248,1
250,1
251,1
252,2
253,1
254,1
257,0
258,1
259,1
262,2
263,2
265,0
267,2
270,1
271,0
273,2
275,0
277,2
279,0
280,0
284,0
