k,inertia,silhouette
2,180.12432861328125,0.14727336
3,155.4775390625,0.1894662
4,141.32603454589844,0.1408077
5,129.39678955078125,0.1213602
6,119.95503234863281,0.12866583
7,115.09785461425781,0.13821173
8,104.02702331542969,0.15483996
9,94.91236114501953,0.15980542
10,89.780029296875,0.16380964
11,84.89448547363281,0.16463487
12,80.51191711425781,0.17118375
13,78.02325439453125,0.16638614
14,72.38323974609375,0.17702736
15,71.40216064453125,0.14677855
16,67.78453063964844,0.16856891
17,67.89643096923828,0.13748652
18,61.8668212890625,0.1700492
19,61.803802490234375,0.15824242
20,60.723388671875,0.14363132
21,57.47853088378906,0.15489377
22,56.08685302734375,0.1477798
23,54.44200134277344,0.14169948
