k,inertia,silhouette
2,54.80176544189453,0.757367
3,37.29383850097656,0.28179982
4,31.48531723022461,0.19462228
5,28.219345092773438,0.19651254
6,24.967117309570312,0.19644661
7,23.37498664855957,0.18294229
8,20.63290023803711,0.20438409
9,18.79604721069336,0.18394846
10,17.044076919555664,0.17229733
11,14.910347938537598,0.207323
12,14.24234676361084,0.18339266
13,13.603275299072266,0.18055488
14,12.88536548614502,0.16905592
15,11.577259063720703,0.18707365
16,10.489662170410156,0.18304054
17,9.696006774902344,0.18912561
18,9.585888862609863,0.16468118
19,8.548563003540039,0.18340471
20,7.696887016296387,0.19372268
21,7.349773406982422,0.14647554
22,6.83277702331543,0.16494206
23,6.022038459777832,0.17576045
