k,inertia,silhouette
2,72.91771697998047,0.15489992
3,63.00752258300781,0.17224683
4,55.235984802246094,0.15939415
5,50.139259338378906,0.15676127
6,45.25080108642578,0.171003
7,44.304779052734375,0.14332521
8,41.79385757446289,0.10983596
9,41.033180236816406,0.13090578
10,38.85041427612305,0.09546848
11,36.916648864746094,0.13286196
12,35.361751556396484,0.09186914
13,33.05762481689453,0.09800369
14,31.837398529052734,0.08546651
15,30.758548736572266,0.107979566
16,30.10552215576172,0.07018354
17,29.032577514648438,0.065411635
18,27.71870994567871,0.07756263
19,25.73815155029297,0.08749693
20,25.08522605895996,0.07765821
21,24.230670928955078,0.07889278
22,22.53980255126953,0.094464295
23,22.290306091308594,0.07504612
