k,inertia,silhouette
2,34.99797821044922,0.13688707
3,29.83384895324707,0.15112755
4,27.82062530517578,0.14547354
5,25.53240203857422,0.13366126
6,23.299224853515625,0.11283135
7,21.78243064880371,0.10295818
8,20.07280921936035,0.104650296
9,19.99679946899414,0.1009065
10,18.971057891845703,0.0713593
11,17.182327270507812,0.0903566
12,16.333412170410156,0.089281656
13,15.464086532592773,0.07856059
14,14.288411140441895,0.09923293
15,13.536670684814453,0.08679955
16,12.531644821166992,0.08964336
17,11.560554504394531,0.09922036
18,10.614309310913086,0.0913351
19,10.204692840576172,0.101204865
20,9.680644989013672,0.09664797
21,9.045870780944824,0.08799621
22,8.66409683227539,0.08315269
23,8.212359428405762,0.08535848
