sequence_index,cluster
1,1
5,1
16,0
36,0
39,1
47,0
48,1
54,0
74,0
80,0
82,0
85,0
86,0
89,0
90,0
91,0
92,0
98,0
99,0
100,0
102,0
103,0
104,0
107,0
108,0
109,0
110,0
112,0
113,0
120,0
122,0
135,0
141,0
143,0
144,0
147,0
148,0
151,0
152,0
154,0
156,0
158,0
160,1
161,0
173,0
176,0
177,0
186,1
187,1
188,1
189,1
190,1
191,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
202,1
203,1
204,1
205,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
226,1
227,1
228,1
231,1
233,1
235,1
236,1
237,1
240,1
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
