k,inertia,silhouette
2,5.818346977233887,0.17289451
3,4.979213714599609,0.17901321
4,4.485313415527344,0.13818479
5,4.06345272064209,0.12740679
6,3.635385274887085,0.15880914
7,3.356729507446289,0.14828797
8,3.080979824066162,0.1427311
9,2.9000515937805176,0.11990354
10,2.6710691452026367,0.15216754
11,2.582904815673828,0.110658675
12,2.283217668533325,0.14471844
13,2.1811327934265137,0.15437482
14,2.0383927822113037,0.12438483
15,1.8796064853668213,0.13484216
16,1.7975850105285645,0.13839032
17,1.6471821069717407,0.122959495
18,1.473106026649475,0.14552544
19,1.4124398231506348,0.12516613
20,1.310337781906128,0.14326844
21,1.2184492349624634,0.12721233
22,1.1293447017669678,0.13410929
23,1.0221354961395264,0.12711573
