k,inertia,silhouette
2,52.99706268310547,0.48854178
3,36.90190887451172,0.4665174
4,26.28235626220703,0.2828618
5,21.62640953063965,0.24493916
6,18.753652572631836,0.25185588
7,16.59843635559082,0.23678114
8,13.672523498535156,0.25345886
9,12.779495239257812,0.26408878
10,11.116170883178711,0.25549126
11,10.030031204223633,0.22170632
12,9.542131423950195,0.21102008
13,7.911740303039551,0.2466506
14,6.955849647521973,0.21550064
15,6.4973907470703125,0.21783589
16,5.646646499633789,0.22222173
17,4.935914039611816,0.20842224
18,4.293479919433594,0.22693166
19,3.883269786834717,0.21528834
20,3.407219886779785,0.222842
21,3.095813751220703,0.21859398
22,2.749647617340088,0.21361254
23,2.482973337173462,0.21576503
