k,inertia,silhouette
2,18.39358139038086,0.7588747
3,8.96227741241455,0.7315523
4,6.364817142486572,0.66695774
5,4.156693458557129,0.6731998
6,3.0107333660125732,0.39127836
7,2.357259511947632,0.38494852
8,1.9946850538253784,0.34681562
9,1.674872636795044,0.33086756
10,1.4510878324508667,0.2513804
11,1.2602927684783936,0.31107584
12,1.1438395977020264,0.20780233
13,0.9831110239028931,0.3134692
14,0.8603982329368591,0.19962354
15,0.7925741076469421,0.19255362
16,0.7020920515060425,0.20827268
17,0.6547284126281738,0.16683869
18,0.6013968586921692,0.15783517
19,0.5333907604217529,0.16424194
20,0.48650747537612915,0.14090995
21,0.43474167585372925,0.15862967
22,0.41186749935150146,0.121758975
23,0.3842645287513733,0.10061072
