k,inertia,silhouette
2,262.1656494140625,0.48073336
3,196.2718505859375,0.3897266
4,155.36862182617188,0.38641307
5,130.3340301513672,0.35061178
6,118.86357116699219,0.25470474
7,108.60147094726562,0.31244075
8,95.05984497070312,0.2615461
9,89.0296630859375,0.2553137
10,80.49774932861328,0.24261954
11,75.82817077636719,0.20821294
12,69.73963165283203,0.25591013
13,65.16958618164062,0.23910776
14,60.420753479003906,0.22223859
15,55.57027816772461,0.25328523
16,51.24775695800781,0.23879796
17,46.72807312011719,0.24491908
18,44.39964294433594,0.23717868
19,42.3155403137207,0.23299615
20,39.635826110839844,0.23169845
21,38.109962463378906,0.24348998
22,36.16423034667969,0.22474733
23,33.844974517822266,0.21838802
