cluster,sequence_index,distance_to_centroid
0,0,0.41135426304619155
0,40,0.5773854916132449
0,44,0.5936640402820276
0,15,0.6197665466223645
0,56,0.6241960891825132
1,21,0.7980930463722236
1,19,0.8332587940331172
1,32,0.882534581881141
1,24,0.9143127761888397
1,20,0.917687825544102
2,29,0.7565948709040496
2,85,0.9529839061248518
2,66,1.0779162650650893
2,28,1.1112754943268226
2,26,1.2865292608803531
3,60,1.4904215664003182
3,61,1.5495269096490836
3,83,2.076416612782828
3,71,2.4324778730120498
3,84,2.817366463601879
