k,inertia,silhouette
2,359.10308837890625,0.48858243
3,278.5289001464844,0.38441962
4,235.62832641601562,0.35585868
5,196.7758331298828,0.36717743
6,179.0217742919922,0.35441607
7,163.5762939453125,0.23703638
8,146.29739379882812,0.34682706
9,136.1339874267578,0.30018902
10,119.99882507324219,0.2753912
11,115.49333190917969,0.24940677
12,101.67045593261719,0.2624124
13,88.15434265136719,0.2740802
14,85.84066772460938,0.28145447
15,77.55921936035156,0.26333287
16,70.91107940673828,0.27956408
17,69.4512710571289,0.2544978
18,62.98756790161133,0.26504365
19,60.94816589355469,0.26195621
20,57.20535659790039,0.21552029
21,54.52021789550781,0.21718052
22,53.015933990478516,0.19657223
23,48.44932556152344,0.21341196
