cluster,sequence_index,distance_to_centroid
0,3,0.5331891461113691
0,80,0.54468244984414
0,39,0.5483271811394245
0,47,0.5561105653494147
0,65,0.5768873208128408
1,34,1.167962647090299
1,32,1.3621003642543856
1,30,1.5084196816506588
1,72,1.5580252606610523
1,31,1.7457131828639547
2,1,0.7262923083678311
2,17,0.838897567177424
2,5,0.9296608573290511
2,19,0.9616521632816983
2,67,1.185451062039349
3,22,0.9174457105032502
3,27,0.986828377378384
3,21,0.9991508763760361
3,24,1.103248131626083
3,23,1.1873931572485257
4,78,1.400476362411096
4,74,1.768390532103897
4,75,2.5068726750081147
