k,inertia,silhouette
2,17.754596710205078,0.42970717
3,12.805574417114258,0.32728454
4,9.768159866333008,0.36754566
5,7.866471767425537,0.3404405
6,6.753188133239746,0.3086895
7,5.497505187988281,0.3246535
8,4.683648109436035,0.327284
9,4.0914225578308105,0.30757973
10,3.658891201019287,0.30337888
11,3.2701592445373535,0.27380985
12,2.84277606010437,0.26388335
13,2.5138814449310303,0.24678582
14,2.3075311183929443,0.20874114
15,2.130941390991211,0.18802649
16,1.9339582920074463,0.1578525
17,1.741147518157959,0.17446393
18,1.5435171127319336,0.14260302
19,1.383252501487732,0.12501347
20,1.188373327255249,0.10445263
21,1.0458269119262695,0.10205084
22,0.8589791059494019,0.08971159
23,0.7345215082168579,0.081257716
