sequence_index,cluster
0,1
10,1
12,0
13,0
14,0
16,0
17,0
31,0
34,0
39,1
44,1
48,0
50,1
56,0
57,0
63,0
71,1
76,1
77,1
79,0
81,1
85,0
90,0
94,0
100,1
104,1
119,0
121,0
130,1
132,1
134,0
137,0
141,1
144,0
145,1
148,0
151,0
159,1
161,0
165,0
167,0
173,0
174,0
175,0
178,0
185,0
195,0
200,0
204,1
205,0
213,0
214,0
219,0
226,1
228,0
229,0
236,0
238,1
249,1
250,0
252,0
253,0
256,1
257,0
260,1
267,0
271,0
273,1
281,0
282,0
284,0
296,0
299,0
300,1
306,0
307,0
308,0
310,0
312,0
313,0
318,0
319,0
322,0
324,0
326,0
332,1
333,0
339,0
343,1
344,0
345,0
346,0
351,0
352,0
353,0
354,1
364,0
368,1
369,0
374,0
375,0
380,0
382,0
384,0
386,0
391,1
422,0
430,0
433,0
434,1
436,1
439,0
440,0
455,0
460,0
463,1
466,0
471,0
472,1
490,0
500,0
507,0
508,0
516,0
525,1
526,0
527,0
529,1
533,0
537,1
542,0
543,0
553,1
554,0
556,0
563,0
565,0
566,0
567,0
568,0
571,1
574,0
579,0
582,1
585,1
586,0
588,1
595,1
597,1
601,0
609,1
610,0
611,0
612,0
613,0
618,0
626,0
632,1
635,0
638,1
640,0
642,0
643,0
648,1
654,0
665,0
666,1
676,1
681,1
691,1
695,1
706,0
711,0
713,0
723,0
731,1
733,0
739,0
741,0
745,0
751,0
753,0
755,1
757,0
760,0
767,0
770,0
779,0
784,1
787,1
793,0
795,1
799,0
800,0
802,1
804,1
807,0
811,0
815,0
816,1
820,1
822,0
827,0
829,1
835,0
841,0
843,0
847,0
852,0
855,0
866,0
867,0
884,1
885,1
887,0
890,0
891,0
893,0
899,0
902,0
906,0
908,0
910,0
913,0
915,0
931,0
934,0
935,0
936,0
941,1
943,0
949,0
950,0
958,0
959,0
961,0
970,0
972,0
975,1
979,0
988,0
998,0
1007,0
1008,0
1011,0
1012,1
1018,0
1021,1
1023,1
1032,1
1034,0
1040,0
1041,0
1042,1
1043,1
1044,0
1048,0
1052,0
1053,1
1055,0
1062,0
1065,0
1067,0
1070,0
1072,0
1075,1
1077,0
1087,0
1089,0
1095,1
1109,0
1111,1
1124,0
1125,0
1131,0
1133,1
1135,1
1140,0
1141,1
1143,1
1149,0
1151,0
1153,1
1163,0
1172,1
1182,0
1185,1
1187,0
1189,1
1191,0
1195,0
1200,0
1201,0
1206,0
1210,1
1219,0
1224,0
1231,1
1232,0
1233,1
1235,0
1238,0
1249,1
1250,0
1257,0
1258,0
1259,1
1261,0
1263,0
1271,0
1273,0
1282,0
1284,0
1286,0
1287,1
1290,0
1292,0
1298,1
1301,1
1313,0
1314,1
1316,0
1317,0
1323,0
1324,0
1325,1
1328,0
1329,0
1330,0
1334,0
1336,1
1337,0
1338,0
1343,1
1347,0
1349,0
1356,0
1360,0
1369,1
1374,0
1377,1
1388,0
1389,0
1392,0
1403,0
1405,0
1406,1
1409,0
1413,0
1417,0
1424,1
1425,1
1428,0
1436,0
1438,1
1439,1
1442,0
1448,0
1457,0
1461,0
1470,0
1472,1
1476,0
1477,0
1478,0
1481,0
1485,0
1487,0
1490,0
1494,1
1495,1
1496,0
1506,1
1509,1
1519,1
1524,1
1525,1
1528,0
1533,0
1534,0
1537,1
1540,1
1541,1
1543,0
1545,0
1565,0
1572,1
1573,1
1585,1
1600,0
1601,1
1604,1
1605,0
1607,1
1615,1
1618,1
1622,0
1629,0
1631,0
1632,0
1633,0
1634,1
1638,0
1639,1
1647,1
1653,1
1657,0
1660,1
1666,0
1667,0
1673,1
1676,0
1689,0
1692,1
1697,1
1698,1
1711,0
1715,0
1717,0
1729,0
1732,0
1737,1
1741,0
1745,0
1747,0
1752,0
1753,0
1763,0
1767,1
1772,0
1791,0
1792,0
1798,0
1806,0
1811,1
1812,0
1813,1
1815,1
1816,0
1819,0
1823,0
1835,1
1837,1
1839,1
1840,0
1842,0
1845,1
1850,0
1851,0
1855,0
