k,inertia,silhouette
2,2151.88330078125,0.20517483
3,1902.49072265625,0.13473307
4,1738.9808349609375,0.13220054
5,1610.2366943359375,0.13818294
6,1515.086669921875,0.14025913
7,1433.05126953125,0.14225149
8,1383.825927734375,0.11596591
9,1337.1494140625,0.111810975
10,1284.0897216796875,0.1245449
11,1244.0220947265625,0.11481942
12,1203.73828125,0.1193683
13,1174.8360595703125,0.11582207
14,1138.0699462890625,0.11649802
15,1113.23046875,0.12698969
16,1100.4886474609375,0.118147574
17,1059.5634765625,0.122494616
18,1044.4896240234375,0.12230014
19,1006.0440063476562,0.12743464
20,989.7816772460938,0.124906026
21,969.9168701171875,0.12690349
22,939.1409912109375,0.1249339
23,932.2440795898438,0.124930985
