sequence_index,cluster
1,2
3,2
15,2
21,2
22,2
33,2
35,0
37,2
45,2
51,2
55,0
60,2
65,0
82,2
84,2
87,0
88,2
89,2
92,2
93,2
95,2
107,2
110,2
112,0
114,2
116,2
124,2
126,2
129,2
133,2
142,2
143,2
152,2
153,2
157,2
158,2
170,0
171,0
179,0
180,0
184,2
188,2
189,2
190,0
196,2
198,2
199,0
201,0
203,2
206,2
208,2
209,2
212,0
215,0
230,0
232,2
241,0
242,2
246,2
248,0
251,2
254,0
255,0
258,2
264,2
266,2
269,2
274,2
275,2
276,2
280,2
288,2
294,2
309,2
316,0
320,2
325,2
337,0
338,0
347,2
362,2
365,0
370,0
376,2
381,2
383,2
390,0
396,0
398,0
400,0
404,2
406,2
408,2
412,2
414,2
417,2
419,2
429,2
431,0
437,2
438,2
442,2
447,2
449,0
458,2
459,2
465,2
477,2
478,2
481,0
483,2
489,2
493,2
495,0
496,2
497,0
501,2
504,2
505,2
506,2
509,0
511,0
513,2
521,2
522,2
523,0
528,0
530,0
536,2
540,2
545,0
546,2
548,2
550,2
555,2
559,2
562,2
576,2
578,2
580,2
581,2
583,2
589,2
591,2
592,0
599,2
606,2
614,2
615,0
622,2
624,2
627,2
631,2
634,2
637,0
645,2
656,0
657,0
658,2
659,2
668,2
674,2
678,0
679,2
686,2
693,2
694,2
700,2
701,2
704,2
708,2
710,2
720,2
726,2
727,2
728,2
732,2
740,2
742,2
743,0
744,2
748,2
750,0
752,2
754,2
763,2
785,2
788,0
792,2
794,2
798,2
801,2
805,2
808,2
812,0
814,0
819,0
823,2
830,2
832,2
836,2
837,2
842,2
848,2
849,2
856,2
859,2
860,2
861,2
862,0
863,2
864,2
868,2
872,2
876,2
877,0
880,2
882,0
886,0
894,2
895,2
898,2
901,2
911,0
923,2
926,2
929,0
933,2
938,2
942,2
948,2
951,2
952,2
954,2
955,0
956,0
957,2
966,2
967,2
973,0
977,2
978,2
987,2
989,2
995,2
996,2
997,2
1001,2
1003,2
1005,0
1013,0
1015,2
1016,2
1029,2
1030,2
1031,0
1035,2
1036,2
1046,2
1060,2
1064,2
1066,2
1071,2
1073,2
1078,2
1080,2
1083,2
1084,0
1086,2
1091,2
1099,2
1100,2
1106,0
1112,2
1114,2
1126,0
1129,2
1137,0
1138,2
1144,2
1148,2
1154,2
1156,2
1158,0
1164,2
1167,0
1171,0
1181,2
1183,2
1198,0
1202,0
1208,2
1209,0
1212,2
1213,2
1214,2
1220,0
1221,2
1222,2
1227,2
1239,0
1240,2
1243,2
1252,2
1253,2
1256,2
1264,2
1267,0
1269,2
1275,0
1276,2
1289,2
1291,0
1293,2
1299,2
1305,2
1307,2
1310,2
1315,2
1344,0
1352,2
1353,2
1354,2
1355,0
1362,2
1364,0
1375,2
1378,2
1379,0
1382,0
1385,2
1393,0
1394,2
1399,2
1400,2
1402,2
1410,0
1412,2
1420,2
1421,2
1432,0
1433,2
1434,2
1435,2
1445,0
1447,0
1454,2
1455,0
1456,2
1463,0
1464,2
1466,2
1467,2
1468,2
1473,0
1479,2
1480,2
1482,2
1484,2
1491,2
1498,0
1499,1
1501,0
1502,1
1505,1
1507,0
1514,0
1517,1
1526,0
1527,1
1531,0
1535,2
1539,2
1542,1
1547,1
1548,2
1550,1
1552,2
1554,0
1556,1
1557,1
1560,2
1563,2
1566,2
1568,1
1569,0
1576,2
1579,0
1582,2
1584,2
1586,0
1588,2
1589,2
1592,1
1603,0
1608,1
1612,1
1614,1
1617,2
1626,1
1630,1
1636,1
1643,0
1650,1
1651,1
1656,2
1661,0
1663,1
1670,2
1679,0
1685,2
1688,1
1695,2
1703,2
1707,1
1710,2
1718,1
1720,1
1721,2
1722,2
1723,1
1726,1
1727,0
1730,0
1733,1
1738,1
1755,1
1761,1
1762,1
1773,0
1777,1
1778,1
1781,1
1785,2
1786,2
1795,1
1799,1
1802,1
1809,2
1814,2
1822,1
1824,2
1825,1
1826,1
1832,2
1834,1
1843,1
1846,2
1853,1
1856,2
