k,inertia,silhouette
2,2696.280517578125,0.1828697
3,2312.765869140625,0.21415038
4,2033.099853515625,0.17208679
5,1882.255615234375,0.15062419
6,1760.7296142578125,0.15072735
7,1669.491943359375,0.15125136
8,1588.855712890625,0.14803305
9,1484.0791015625,0.16784383
10,1421.214599609375,0.17102858
11,1352.47021484375,0.17767802
12,1305.842041015625,0.16845965
13,1274.441162109375,0.15626837
14,1226.945556640625,0.16618195
15,1188.49755859375,0.15427595
16,1164.65283203125,0.16181403
17,1132.3095703125,0.15847234
18,1085.7288818359375,0.1693071
19,1068.5087890625,0.17511901
20,1046.5118408203125,0.17801584
21,1031.498779296875,0.16990551
22,1005.3897705078125,0.16920938
23,998.579345703125,0.1561236
