sequence_index,cluster
2,2
4,2
6,2
8,2
18,2
19,2
23,1
25,2
29,2
30,1
32,1
38,2
43,2
47,2
49,2
53,2
58,1
59,2
61,2
66,2
73,2
80,2
83,1
86,1
91,2
97,2
99,1
101,1
103,1
108,2
115,1
122,0
123,1
125,2
127,1
128,2
138,1
139,1
140,1
147,2
150,2
156,2
162,2
166,2
169,2
172,2
176,2
181,1
182,2
186,1
187,2
191,2
193,2
194,2
197,2
202,1
210,1
218,2
221,2
222,1
223,2
224,1
231,1
235,1
240,1
245,1
247,2
263,1
268,2
278,2
283,2
285,2
287,1
289,2
292,2
295,2
297,2
301,2
303,2
304,1
305,1
311,2
315,2
329,1
330,2
335,2
336,2
340,2
341,2
349,2
355,2
359,2
361,1
363,2
366,2
367,1
371,2
373,1
377,1
379,1
385,2
392,1
393,1
395,1
397,2
399,1
402,2
405,2
407,1
410,1
411,1
413,2
418,2
420,2
421,1
441,2
443,2
446,2
448,2
451,2
452,2
454,1
456,1
457,1
464,2
468,2
470,1
473,1
475,2
485,2
487,1
488,1
492,2
498,1
499,2
512,0
515,2
517,2
518,2
532,2
535,1
539,2
541,1
560,1
561,2
564,1
575,1
587,2
590,2
596,1
600,2
603,2
605,2
607,1
608,1
616,2
617,2
621,2
625,1
628,1
630,1
636,1
652,1
653,1
663,2
673,1
675,1
677,2
680,1
682,1
684,2
689,2
692,1
698,2
699,2
702,1
705,2
707,2
709,1
717,2
718,2
721,2
724,1
730,2
734,1
735,1
737,2
738,1
746,1
756,1
758,2
761,2
762,2
764,2
765,1
772,2
773,1
774,1
776,2
778,0
783,1
790,2
797,2
803,1
809,1
810,1
817,2
824,2
825,2
826,2
831,1
833,2
838,2
839,2
851,1
853,2
854,2
865,2
870,2
871,2
873,1
875,2
878,2
883,2
888,1
892,1
896,2
900,2
904,1
905,2
907,1
909,2
912,2
917,2
918,0
919,2
921,2
922,2
927,2
930,2
939,2
944,2
945,2
946,2
964,2
976,2
980,2
985,2
990,2
991,1
992,2
993,2
994,2
999,1
1000,2
1002,2
1010,2
1017,2
1019,1
1020,1
1022,2
1026,1
1027,2
1033,2
1038,2
1047,1
1054,2
1057,2
1058,2
1061,2
1081,1
1082,1
1085,1
1093,1
1096,2
1097,1
1098,2
1102,1
1108,1
1113,2
1115,2
1116,1
1117,1
1118,2
1120,2
1122,1
1127,2
1130,1
1132,1
1139,1
1142,2
1145,1
1147,1
1157,1
1159,2
1165,1
1166,1
1168,1
1170,2
1173,2
1175,2
1177,2
1192,1
1194,1
1196,1
1203,1
1207,1
1215,1
1216,1
1217,2
1225,1
1228,1
1229,2
1236,1
1237,1
1242,1
1244,2
1251,2
1254,1
1260,1
1262,1
1265,2
1270,1
1277,1
1280,1
1281,1
1283,1
1295,1
1296,1
1297,1
1302,2
1303,1
1304,2
1311,2
1318,1
1319,2
1321,1
1322,1
1326,1
1327,1
1345,2
1346,1
1348,2
1350,1
1358,1
1359,1
1363,0
1366,2
1368,1
1371,2
1372,1
1373,1
1381,1
1386,1
1390,2
1391,2
1397,2
1408,1
1411,1
1416,1
1418,1
1419,2
1423,1
1431,1
1440,1
1443,2
1450,2
1452,2
1453,1
1458,2
1459,1
1462,1
1465,2
1469,1
1471,1
1474,1
1483,1
1486,1
1488,1
1489,2
1497,2
1503,0
1511,1
1512,0
1513,2
1520,1
1521,0
1530,1
1532,1
1538,2
1546,0
1549,1
1558,2
1570,1
1574,1
1575,0
1577,0
1581,2
1587,1
1594,0
1595,2
1596,0
1598,2
1602,0
1606,2
1613,2
1616,2
1623,1
1624,1
1627,1
1637,1
1641,2
1644,1
1645,1
1646,2
1648,2
1649,2
1652,1
1654,1
1655,0
1659,0
1662,1
1664,1
1668,2
1669,2
1677,0
1678,1
1680,0
1681,2
1683,0
1686,2
1687,2
1690,2
1691,1
1696,1
1699,2
1702,2
1704,2
1706,2
1708,2
1709,2
1712,2
1714,2
1719,2
1724,2
1728,2
1731,0
1734,0
1736,2
1743,0
1744,0
1746,0
1748,2
1754,1
1756,0
1764,2
1766,2
1768,0
1769,2
1776,1
1779,2
1780,2
1784,0
1790,2
1801,0
1804,2
1807,0
1808,2
1810,0
1818,0
1820,0
1821,2
1827,2
1828,2
1829,0
1830,2
1831,1
1838,0
1841,2
1849,0
