k,inertia,silhouette
2,1909.660888671875,0.13947232
3,1727.4752197265625,0.14594838
4,1580.801513671875,0.12369635
5,1452.958251953125,0.13901639
6,1370.085205078125,0.12088518
7,1307.638427734375,0.11347971
8,1246.065185546875,0.1197978
9,1187.362060546875,0.12715986
10,1147.7335205078125,0.13212778
11,1102.9600830078125,0.14745297
12,1041.046875,0.14496613
13,1010.6671142578125,0.14441833
14,981.3404541015625,0.14803618
15,956.5128173828125,0.14543635
16,918.7710571289062,0.15430899
17,893.9417724609375,0.15692352
18,871.591064453125,0.15597525
19,841.864990234375,0.16530892
20,832.0005493164062,0.16160546
21,806.5001220703125,0.16776577
22,799.2340087890625,0.16531086
23,773.111572265625,0.16741528
