sequence_index,cluster
5,1
7,0
9,1
11,0
20,0
24,1
26,0
27,0
28,0
36,1
40,0
41,0
42,0
46,0
52,1
54,0
62,1
64,1
67,0
68,0
69,1
70,1
72,0
74,1
75,1
78,0
96,1
98,1
102,0
105,0
106,0
109,0
111,1
113,1
117,1
118,0
120,0
131,1
135,0
136,0
146,0
149,0
154,1
155,0
160,0
163,0
164,1
168,0
177,1
183,1
192,1
207,0
211,0
216,0
217,0
220,0
225,0
227,0
233,0
234,1
237,0
239,1
243,0
244,1
259,0
261,0
262,0
265,0
270,0
272,1
277,1
279,1
286,0
290,1
291,1
293,0
298,1
302,1
314,0
317,0
321,0
323,0
327,0
328,0
331,0
334,1
342,0
348,0
350,0
356,0
357,1
358,1
360,1
372,0
378,1
387,0
388,0
389,0
394,0
401,0
403,1
409,1
415,1
416,1
423,1
424,0
425,0
426,1
427,1
428,0
432,1
435,0
444,1
445,0
450,0
453,0
461,0
462,0
467,0
469,0
474,1
476,0
479,0
480,1
482,1
484,1
486,1
491,0
494,0
502,1
503,1
510,1
514,1
519,1
520,1
524,0
531,1
534,0
538,0
544,1
547,0
549,0
551,1
552,1
557,0
558,1
569,0
570,0
572,0
573,1
577,0
584,0
593,1
594,1
598,0
602,0
604,1
619,0
620,1
623,1
629,1
633,1
639,1
641,1
644,1
646,0
647,0
649,0
650,0
651,1
655,1
660,0
661,0
662,1
664,1
667,0
669,0
670,1
671,0
672,0
683,0
685,0
687,0
688,0
690,1
696,1
697,0
703,1
712,0
714,1
715,1
716,0
719,1
722,1
725,0
729,0
736,0
747,1
749,0
759,0
766,0
768,1
769,1
771,0
775,1
777,0
780,0
781,0
782,0
786,1
789,0
791,1
796,0
806,0
813,0
818,0
821,1
828,0
834,0
840,0
844,0
845,1
846,1
850,1
857,1
858,1
869,0
874,1
879,1
881,1
889,0
897,1
903,0
914,0
916,1
920,1
924,0
925,0
928,1
932,1
937,1
940,0
947,1
953,0
960,1
962,1
963,0
965,0
968,0
969,1
971,1
974,1
981,1
982,1
983,1
984,1
986,1
1004,0
1006,0
1009,1
1014,0
1024,0
1025,1
1028,0
1037,0
1039,0
1045,0
1049,1
1050,1
1051,1
1056,1
1059,1
1063,1
1068,1
1069,1
1074,0
1076,0
1079,1
1088,1
1090,0
1092,1
1094,0
1101,0
1103,0
1104,1
1105,0
1107,1
1110,1
1119,1
1121,0
1123,0
1128,1
1134,0
1136,1
1146,0
1150,1
1152,0
1155,1
1160,1
1161,1
1162,1
1169,1
1174,1
1176,1
1178,0
1179,1
1180,1
1184,0
1186,1
1188,1
1190,0
1193,0
1197,1
1199,0
1204,1
1205,1
1211,0
1218,1
1223,0
1226,1
1230,0
1234,1
1241,1
1245,0
1246,1
1247,0
1248,0
1255,1
1266,0
1268,1
1272,1
1274,0
1278,0
1279,1
1285,0
1288,0
1294,0
1300,0
1306,0
1308,1
1309,0
1312,1
1320,1
1331,1
1332,1
1333,0
1335,1
1339,0
1340,0
1341,1
1342,1
1351,0
1357,0
1361,1
1365,0
1367,1
1370,0
1376,0
1380,0
1383,1
1384,1
1387,1
1395,1
1396,1
1398,1
1401,0
1404,0
1407,1
1414,1
1415,1
1422,1
1426,1
1427,0
1429,0
1430,1
1437,1
1441,0
1444,1
1446,0
1449,1
1451,1
1460,1
1475,1
1492,1
1493,0
1500,1
1504,1
1508,1
1510,0
1515,1
1516,1
1518,1
1522,1
1523,1
1529,1
1536,1
1544,1
1551,1
1553,1
1555,1
1559,1
1561,1
1562,1
1564,0
1567,1
1571,1
1578,0
1580,0
1583,1
1590,0
1591,1
1593,1
1597,1
1599,0
1609,1
1610,1
1611,1
1619,1
1620,0
1621,0
1625,0
1628,1
1635,1
1640,1
1642,1
1658,1
1665,0
1671,0
1672,1
1674,1
1675,1
1682,1
1684,0
1693,1
1694,0
1700,1
1701,0
1705,0
1713,1
1716,0
1725,1
1735,1
1739,1
1740,1
1742,1
1749,0
1750,1
1751,1
1757,1
1758,1
1759,1
1760,0
1765,1
1770,0
1771,0
1774,0
1775,1
1782,0
1783,0
1787,1
1788,0
1789,0
1793,0
1794,0
1796,1
1797,1
1800,1
1803,1
1805,1
1817,0
1833,1
1836,1
1844,1
1847,0
1848,1
1852,1
1854,1
