k,inertia,silhouette
2,2990.60498046875,0.19414032
3,2515.1826171875,0.19208477
4,2288.12646484375,0.14981914
5,2098.41943359375,0.16070507
6,1927.938720703125,0.16207781
7,1810.3509521484375,0.16242439
8,1702.78466796875,0.16934553
9,1621.70751953125,0.16869843
10,1559.1246337890625,0.17357823
11,1496.185546875,0.16964738
12,1439.4300537109375,0.16427489
13,1397.10888671875,0.159783
14,1341.40478515625,0.1706591
15,1318.65087890625,0.17306356
16,1280.195068359375,0.17182143
17,1257.221923828125,0.1659845
18,1200.662109375,0.18097474
19,1185.995361328125,0.18076202
20,1157.5528564453125,0.17616428
21,1128.792236328125,0.18292807
22,1101.37939453125,0.1743414
23,1076.16552734375,0.1848087
