sequence_index,cluster
1,0
8,1
9,0
10,1
12,0
21,0
22,0
28,0
36,1
39,0
41,0
47,1
50,1
52,0
53,1
54,0
70,1
75,0
78,0
84,1
86,0
99,1
104,0
108,1
111,1
112,0
120,1
125,1
127,1
140,1
142,0
145,1
146,0
147,0
149,0
151,1
155,1
164,0
167,0
168,0
182,0
190,1
202,1
209,0
210,0
213,1
214,1
216,0
217,0
219,0
226,1
236,0
242,0
245,1
248,1
254,0
255,1
262,1
272,1
274,1
277,0
279,0
284,0
285,0
287,0
292,0
300,0
317,0
331,1
340,0
341,0
347,0
348,1
351,1
353,0
357,0
359,0
365,0
368,1
374,1
378,1
383,0
386,0
392,1
396,0
406,1
416,0
421,0
425,0
426,0
431,1
434,1
436,1
444,1
452,1
466,0
467,0
468,1
470,1
472,1
473,1
480,1
487,0
490,1
501,1
511,1
526,0
531,1
539,1
545,0
564,1
568,1
576,0
598,1
601,1
605,0
607,0
612,1
615,1
620,0
622,1
628,1
632,1
636,0
656,1
657,0
658,0
664,1
673,1
679,1
684,0
688,1
692,0
702,0
708,0
711,1
733,0
742,1
744,1
756,1
757,0
761,1
762,1
765,0
767,0
768,0
770,1
773,0
777,0
780,1
785,1
790,1
791,1
799,0
815,0
816,0
817,0
827,0
828,0
830,0
843,1
851,1
854,1
869,1
870,1
878,1
880,1
881,0
882,0
886,0
887,1
889,0
894,0
908,0
910,1
912,1
923,1
930,0
939,1
941,1
943,0
946,0
947,0
951,0
960,0
974,1
985,0
996,1
999,1
1001,0
1012,0
1019,0
1026,1
1030,1
1032,0
1037,0
1045,0
1046,1
1049,0
1054,1
1057,0
1059,0
1062,0
1063,0
1064,1
1065,0
1071,0
1075,1
1079,0
1086,1
1088,0
1098,0
1100,0
1103,0
1107,0
1111,1
1112,1
1113,1
1120,0
1127,0
1133,1
1147,0
1149,0
1151,0
1164,0
1176,0
1178,0
1188,1
1190,0
1194,0
1195,1
1207,0
1212,1
1217,1
1220,0
1225,1
1230,0
1233,1
1235,1
1236,0
1238,1
1243,1
1247,1
1251,0
1255,0
1258,1
1271,1
1280,1
1281,0
1285,0
1289,0
1294,0
1298,1
1306,0
1307,0
1316,0
1324,0
1325,1
1332,1
1333,0
1338,0
1346,1
1348,0
1349,1
1356,1
1359,0
1361,0
1376,0
1377,0
1390,0
1399,1
1401,1
1406,1
1407,1
1410,0
1412,0
1422,0
1428,1
1438,1
1440,1
1447,1
1450,1
1454,0
1467,1
1473,0
1475,1
1480,1
1490,0
1491,1
1496,1
1497,0
1505,1
1511,0
1512,1
1513,0
1514,0
1520,0
1521,1
1522,0
1525,0
1526,1
1527,1
1530,0
1535,1
1538,1
1539,1
1541,0
1545,1
1554,1
1562,1
1569,0
1570,0
1571,1
1572,1
1575,1
1578,1
1579,0
1588,1
1593,1
1594,0
1595,1
1602,1
1605,1
1608,1
1620,1
1621,0
1631,0
1632,1
1640,0
1642,1
1646,0
1652,1
1655,0
1660,0
1662,0
1663,1
1665,1
1670,0
1672,0
1673,0
1675,0
1677,0
1682,0
1687,0
1690,1
1692,0
1699,1
1707,0
1708,0
1728,0
1732,0
1736,1
1750,1
1760,0
1761,0
1762,1
1769,1
1776,0
1782,1
1798,1
1804,1
1805,1
1806,0
1810,0
1811,1
1813,1
1833,1
1834,1
1837,1
1839,0
1842,0
1844,1
1845,1
1850,0
1852,1
1862,0
1881,0
1882,0
1893,1
1912,0
1925,0
1926,0
1932,1
1935,1
1942,1
1944,0
1946,0
1965,1
1980,1
1984,0
1988,1
1990,1
1993,1
1996,1
1997,0
2003,1
2004,0
2012,0
2014,0
2016,1
2017,1
2019,0
2020,0
2023,1
2027,1
2029,0
2035,1
2038,0
2049,1
2050,1
2053,0
2065,1
2072,1
2077,1
2079,0
2088,0
2091,1
2098,0
2101,0
2112,0
2118,0
2122,1
2125,0
2126,0
2133,1
2135,1
2140,0
2143,0
2147,1
2155,1
2157,0
2161,0
2162,0
2173,0
2175,1
2179,1
2182,1
2185,0
2197,1
2199,0
2205,1
2210,1
2215,0
2226,0
2232,1
2237,1
2246,0
2247,0
2248,1
2251,0
2254,0
2256,1
2259,1
2260,1
2263,1
2264,0
2270,0
2272,0
2274,0
2277,0
2282,0
2289,1
2298,0
2305,1
2307,1
2317,1
2334,1
2349,0
2350,0
2351,0
2352,0
2354,1
2355,1
2359,1
2360,0
2365,0
2369,0
2370,0
2373,1
2380,1
2381,1
2392,1
2393,0
2395,0
2398,1
2401,0
2404,0
2405,0
2407,1
2412,1
2413,1
2425,0
