k,inertia,silhouette
2,5215.3642578125,0.20809348
3,4703.650390625,0.18005636
4,4306.74755859375,0.14439578
5,4042.80078125,0.13756458
6,3830.5947265625,0.13733558
7,3614.301025390625,0.14258611
8,3475.44873046875,0.1364963
9,3290.429443359375,0.14399706
10,3154.78466796875,0.1439314
11,3077.28369140625,0.13910069
12,2982.697265625,0.13642524
13,2926.5537109375,0.14949536
14,2811.73876953125,0.15199381
15,2722.51220703125,0.14988871
16,2639.009033203125,0.16066246
17,2580.408447265625,0.15974805
18,2542.84228515625,0.15700458
19,2439.43505859375,0.17107862
20,2460.22265625,0.14836305
21,2370.77685546875,0.16515128
22,2295.85693359375,0.17094061
23,2244.126953125,0.16826119
