sequence_index,cluster
5,11
14,7
26,7
40,6
44,7
48,0
51,4
64,7
68,4
73,1
74,7
80,9
93,3
94,5
97,0
98,9
103,3
105,7
106,3
115,3
126,0
143,5
156,3
161,11
163,7
165,7
172,7
178,1
180,4
193,7
196,11
197,3
201,0
203,3
208,6
212,8
220,8
223,0
225,7
227,8
228,10
230,11
232,7
237,7
246,4
250,2
263,1
266,1
267,6
269,4
270,8
273,7
291,1
302,2
304,7
312,8
314,8
318,8
321,1
323,4
325,3
328,11
332,4
350,8
375,11
390,11
402,0
409,8
412,0
415,7
418,11
424,3
430,6
433,11
435,10
437,1
441,1
445,7
449,7
450,5
455,1
457,0
459,2
476,3
477,1
478,3
485,5
493,5
496,7
498,11
506,1
514,2
523,1
525,7
537,11
540,11
542,11
543,7
544,1
551,8
554,8
565,5
567,7
574,4
578,8
579,1
581,3
595,9
599,7
608,10
609,1
613,7
621,3
626,7
637,0
638,3
641,3
642,7
643,7
648,8
660,1
662,8
663,10
667,9
669,3
687,9
690,6
693,3
703,3
705,0
710,5
713,4
715,7
716,3
722,0
723,4
727,0
728,2
731,0
736,10
741,10
750,7
775,9
781,7
784,11
788,0
798,1
801,2
802,7
804,10
807,9
810,11
812,1
820,0
821,9
834,4
836,7
838,7
839,7
844,8
849,11
853,0
856,5
862,2
863,3
864,7
867,3
875,3
883,5
884,11
890,7
892,4
896,4
901,1
905,2
906,4
913,10
917,3
919,3
926,1
933,8
944,4
945,3
952,1
958,11
962,8
967,11
973,10
977,8
986,2
987,7
988,8
990,3
1000,1
1002,10
1010,9
1017,7
1027,4
1038,8
1041,8
1042,0
1050,8
1055,0
1056,10
1058,3
1081,9
1082,5
1099,11
1114,2
1121,11
1122,3
1123,0
1138,11
1144,7
1145,2
1162,7
1167,3
1170,9
1175,3
1179,8
1185,4
1191,0
1193,0
1198,11
1206,4
1208,1
1210,8
1214,7
1232,3
1242,11
1260,3
1263,3
1268,1
1282,3
1283,7
1287,10
1288,7
1299,3
1309,7
1310,7
1320,0
1321,1
1323,1
1326,0
1327,6
1330,3
1334,0
1340,8
1347,7
1357,4
1362,7
1364,3
1368,11
1370,8
1378,7
1380,1
1385,1
1386,10
1391,7
1393,8
1409,7
1417,7
1418,3
1425,7
1426,7
1429,7
1431,3
1435,8
1442,4
1445,8
1455,10
1464,0
1470,4
1477,6
1483,2
1488,6
1492,0
1499,10
1503,0
1515,8
1517,4
1519,6
1523,0
1532,6
1533,6
1543,6
1546,0
1560,6
1561,6
1567,1
1568,0
1573,4
1590,8
1591,4
1592,0
1606,8
1618,10
1626,2
1628,6
1630,0
1636,0
1637,6
1639,4
1653,0
1667,4
1669,2
1676,4
1679,6
1681,6
1683,0
1688,6
1697,6
1701,10
1711,6
1717,4
1719,6
1723,1
1729,0
1744,0
1747,0
1749,0
1754,0
1756,10
1758,1
1759,0
1765,2
1770,1
1771,0
1772,0
1775,6
1777,1
1778,6
1779,6
1781,10
1785,6
1787,0
1788,6
1799,1
1802,6
1803,0
1812,2
1815,10
1816,7
1817,0
1821,8
1825,10
1831,1
1836,10
1849,6
1855,0
1857,0
1859,10
1865,8
1866,6
1868,2
1872,4
1877,0
1879,8
1884,8
1886,8
1892,4
1894,2
1909,2
1931,0
1934,6
1936,0
1947,0
1949,8
1956,1
1958,6
1960,2
1961,8
1967,6
1968,2
1971,6
1972,6
1973,0
1974,6
1975,1
1987,0
1998,6
2001,0
2040,7
2045,4
2052,2
2055,3
2064,6
2067,6
2068,4
2069,4
2070,2
2073,4
2078,2
2082,4
2086,0
2090,0
2092,4
2093,6
2108,4
2116,4
2119,7
2128,2
2137,7
2144,3
2149,7
2156,7
2164,2
2183,2
2186,0
2195,0
2213,5
2217,2
2227,9
2242,1
2249,1
2250,2
2261,1
2265,2
2268,5
2269,9
2276,2
2278,5
2294,1
2302,5
2315,2
2321,1
2328,5
2332,9
2337,9
2340,9
2341,1
2345,1
2346,9
2348,5
2353,9
2357,1
2361,2
2362,5
2364,9
2374,1
2379,1
2388,9
2389,5
2397,5
2402,2
2408,5
2418,2
2422,2
2423,2
2430,9
