k,inertia,silhouette
2,3416.943603515625,0.16955814
3,2998.52001953125,0.15329802
4,2663.46435546875,0.17249377
5,2460.835693359375,0.17273548
6,2243.65673828125,0.20100069
7,2085.953369140625,0.19741635
8,1946.060302734375,0.1996637
9,1848.06103515625,0.20422728
10,1737.54541015625,0.2189925
11,1668.2783203125,0.22809851
12,1554.895263671875,0.23871799
13,1471.38330078125,0.24668479
14,1401.151123046875,0.25623482
15,1356.158447265625,0.2525651
16,1298.121337890625,0.255944
17,1235.8466796875,0.27094817
18,1201.50390625,0.26675016
19,1161.2476806640625,0.26571456
20,1109.93408203125,0.2848171
21,1066.6171875,0.29685336
22,1031.570556640625,0.28843558
23,1006.9635620117188,0.29210007
