cluster,sequence_index,distance_to_centroid
0,1683,1.1793839324297182
0,1987,1.2261694717060043
0,1754,1.2410838526815433
0,1729,1.328387338345812
0,1772,1.3308790198268843
1,1380,1.3085658488281338
1,73,1.3369304004519564
1,1208,1.4484462393764463
1,455,1.4490153134516615
1,263,1.5311680804389878
2,2078,1.1700912857047066
2,2052,1.302505254912114
2,1145,1.331656583863307
2,862,1.344297425010271
2,1812,1.3574600189803736
3,325,0.776722157336209
3,641,0.9463631759726477
3,203,1.0093146538927609
3,1058,1.0938266266060097
3,1260,1.3117406732541959
4,2069,0.9696391080191243
4,2116,1.0007574419029246
4,2068,1.0845166214225164
4,892,1.1292751206489466
4,246,1.195544633391392
5,883,1.1227071166037426
5,94,1.1448975985858676
5,2397,1.1990041706058798
5,143,1.244939038860946
5,2213,1.2610803069385537
6,1974,1.1257007491391364
6,1519,1.3136839452732048
6,1560,1.3224573959937633
6,1561,1.3707048600083456
6,1971,1.3983391259934501
7,987,1.2047662199969429
7,44,1.2467318678543537
7,105,1.2518576794989982
7,74,1.2811924602193236
7,415,1.3183460946441345
8,933,1.135922731547291
8,227,1.2130316481741696
8,270,1.2147897464772897
8,662,1.2301091035117837
8,1179,1.3172436332150694
9,1081,0.9111789637520505
9,1010,0.9651738764240116
9,595,0.990641337297401
9,821,0.9933566141187671
9,2337,1.0621908156478042
10,1859,1.5425484422521023
10,1756,1.5839001742423315
10,1618,1.6033409885717036
10,1836,1.622412735088838
10,1781,1.6638664626312358
11,1198,1.197236229833371
11,537,1.2610984961097593
11,967,1.4422701304989531
11,1121,1.4760539151961332
11,196,1.5409551510461434
