sequence_index,cluster
2,10
3,2
6,4
13,1
18,2
19,4
32,6
34,6
35,3
37,2
38,5
49,5
58,4
60,8
69,2
76,4
79,2
81,8
82,5
85,5
90,3
91,6
95,5
107,1
109,5
123,5
128,1
130,2
139,2
144,1
157,6
174,3
179,2
181,10
184,10
186,2
187,5
204,1
205,2
211,5
221,3
231,10
233,2
238,5
239,8
240,2
247,5
249,1
252,1
265,5
268,3
271,10
276,5
278,2
288,2
293,1
296,1
299,2
306,2
315,3
316,5
324,10
334,6
345,5
349,2
360,5
361,5
363,3
364,2
373,6
377,8
379,6
384,5
385,6
388,1
389,2
395,1
397,8
405,2
408,3
410,1
411,5
413,4
422,3
442,6
446,2
462,8
463,2
464,1
469,10
475,3
479,3
482,6
484,5
491,8
494,4
503,5
507,10
508,5
509,6
512,2
520,3
521,6
528,5
530,5
532,8
535,2
538,2
548,10
549,1
550,8
552,10
559,3
561,5
562,5
566,1
572,5
573,6
583,10
586,1
590,2
593,5
603,3
604,2
614,10
625,8
627,8
631,5
633,10
640,5
645,8
649,5
650,2
659,8
661,3
665,4
681,3
686,2
689,5
694,5
704,1
706,6
709,5
718,2
719,8
720,6
726,6
730,8
732,8
738,1
740,5
743,8
755,5
776,1
783,5
786,10
796,6
803,2
811,2
818,2
823,3
825,5
829,1
832,5
833,6
840,5
842,6
845,2
850,5
852,5
855,5
860,2
866,5
871,2
872,2
873,5
877,5
897,2
899,6
911,2
916,3
922,5
927,5
932,8
934,8
935,6
937,3
953,6
954,3
959,5
965,10
968,2
981,2
982,3
984,1
989,1
991,1
992,10
995,10
997,3
1005,3
1009,6
1015,4
1020,5
1023,5
1024,5
1029,8
1034,10
1066,2
1072,5
1073,2
1077,6
1078,4
1080,6
1091,3
1092,1
1095,10
1096,10
1097,1
1101,6
1102,1
1104,10
1106,10
1108,6
1109,0
1115,5
1118,3
1126,5
1128,8
1129,6
1132,1
1135,6
1137,5
1142,6
1146,5
1152,1
1153,2
1155,6
1157,5
1160,2
1163,5
1166,2
1169,1
1174,5
1182,5
1183,8
1184,5
1186,5
1189,1
1199,5
1202,6
1213,10
1215,8
1218,6
1219,5
1223,2
1224,2
1234,2
1241,2
1244,5
1248,5
1249,2
1259,2
1269,5
1274,4
1276,8
1286,2
1291,10
1292,2
1296,5
1300,1
1302,3
1303,3
1304,8
1312,8
1314,6
1322,5
1328,1
1335,2
1337,3
1339,8
1341,2
1342,5
1350,5
1355,6
1363,5
1365,5
1379,2
1384,3
1392,6
1396,6
1397,5
1400,1
1403,10
1420,3
1421,2
1427,2
1433,6
1434,1
1439,2
1458,1
1461,8
1463,1
1466,10
1472,3
1474,10
1476,1
1484,8
1489,8
1506,6
1516,3
1528,6
1534,5
1537,4
1544,8
1548,10
1549,8
1550,4
1555,10
1557,3
1564,1
1565,4
1583,8
1585,8
1589,3
1599,8
1607,4
1610,8
1612,5
1613,1
1616,5
1619,6
1624,10
1625,1
1627,10
1633,8
1635,8
1638,1
1645,1
1648,10
1656,4
1657,8
1658,1
1661,10
1671,3
1678,4
1684,8
1685,4
1689,8
1691,6
1698,3
1703,8
1705,3
1706,8
1710,8
1714,4
1720,8
1721,5
1722,6
1725,6
1727,6
1730,8
1731,10
1733,1
1742,6
1752,10
1757,1
1764,5
1767,8
1780,10
1784,5
1790,8
1791,10
1792,4
1793,3
1795,10
1796,1
1814,6
1827,8
1840,10
1854,6
1856,10
1861,8
1863,1
1864,10
1873,1
1874,6
1875,5
1895,5
1897,6
1899,1
1900,10
1910,1
1917,3
1918,5
1921,8
1922,1
1924,1
1937,8
1939,5
1950,4
1959,8
1962,1
1963,8
1964,10
1977,8
1978,10
1983,6
1989,8
1991,3
2005,4
2010,7
2018,4
2021,7
2022,0
2034,0
2037,7
2043,4
2048,7
2051,8
2058,7
2076,0
2083,4
2084,8
2089,8
2094,7
2096,8
2100,7
2103,7
2104,7
2107,0
2110,4
2117,7
2121,5
2127,0
2129,7
2131,0
2132,8
2136,7
2138,7
2141,7
2146,7
2152,0
2158,7
2159,4
2160,8
2163,7
2166,0
2167,4
2168,8
2171,0
2176,8
2177,6
2184,7
2187,8
2188,4
2189,4
2193,4
2209,0
2211,8
2222,9
2223,11
2228,7
2236,9
2240,7
2253,9
2258,11
2271,7
2280,9
2283,9
2285,7
2286,9
2290,11
2300,9
2301,6
2304,6
2308,6
2309,6
2312,9
2313,6
2318,7
2339,6
2356,9
2358,6
2366,11
2368,9
2376,6
2377,11
2378,11
2382,11
2385,7
2387,6
2390,9
2394,11
2396,9
2414,11
2416,8
2420,9
2421,7
2426,11
