k,inertia,silhouette
2,4532.00244140625,0.17072348
3,3994.595703125,0.19517575
4,3634.6669921875,0.1712862
5,3286.06005859375,0.16729113
6,3095.50439453125,0.17454599
7,2845.345703125,0.17910686
8,2657.713134765625,0.18790567
9,2505.07470703125,0.19707803
10,2383.775390625,0.19693281
11,2235.341064453125,0.2144847
12,2174.92919921875,0.20236804
13,2063.64794921875,0.21567969
14,1949.3736572265625,0.23478474
15,1887.336181640625,0.23370126
16,1800.78271484375,0.23611324
17,1705.4921875,0.2592053
18,1646.482421875,0.2532979
19,1572.815185546875,0.2691748
20,1551.0482177734375,0.24858643
21,1490.5782470703125,0.26175353
22,1454.01171875,0.27377144
23,1399.32861328125,0.26320818
