cluster,sequence_index,distance_to_centroid
0,2076,0.7153683600240163
0,2131,0.8896018965662793
0,2152,0.890406431366401
0,2171,0.9634199122369704
0,2107,1.2392405000876865
1,388,1.2774850222669853
1,395,1.336599396223458
1,1645,1.408332767419098
1,989,1.4358423757159706
1,293,1.4439127748228735
2,590,1.1324512733417063
2,650,1.2547103152421877
2,179,1.3038902069752527
2,405,1.3228705933454625
2,446,1.323536379106658
3,35,1.1370406480005637
3,661,1.1375166369469432
3,315,1.1668844979370907
3,1091,1.1693731329245283
3,363,1.1851783058135916
4,1078,0.9597304693915718
4,1685,1.0352685204995107
4,1656,1.127145178293844
4,19,1.273985583669959
4,665,1.3114594949030394
5,82,1.1771993810738204
5,508,1.4200665266364905
5,1616,1.4213450249427084
5,1248,1.5083524430744861
5,1612,1.5112280904213835
6,379,1.4194945142704156
6,1854,1.436483905729569
6,1727,1.5516672791939448
6,1722,1.5661428214000972
6,1506,1.6042262740523505
7,2094,1.573279945444219
7,2184,1.5754315243010368
7,2146,1.8819422679129738
7,2048,1.9112132917757259
7,2136,1.9591522222997548
8,1684,1.3741824774429656
8,1720,1.3929434835569814
8,1827,1.3990848217540752
8,1921,1.411848824152822
8,743,1.442453652023126
9,2283,0.9172546941171289
9,2312,0.9657610869894665
9,2280,0.9802026893639262
9,2396,0.9824814690553232
9,2300,1.0135171124920666
10,1780,1.3841813901874194
10,184,1.4498906231620659
10,965,1.7027636183127892
10,2,1.7603202560725688
10,271,1.8387727774543836
11,2378,0.4529383213575302
11,2394,0.4704954292691676
11,2382,0.5215972483328887
11,2290,0.6625950244287672
11,2414,0.6809210000026087
