sequence_index,cluster
0,13
7,13
11,1
17,4
29,5
30,3
42,12
43,6
45,12
46,12
59,0
65,7
67,6
71,5
77,7
87,13
88,8
96,5
101,6
117,1
118,1
121,4
122,11
131,5
133,7
136,5
137,3
138,4
141,13
148,7
150,3
152,13
159,4
160,1
162,13
166,0
169,11
175,13
177,11
188,8
192,5
198,11
199,8
200,1
235,6
244,4
251,3
253,11
256,5
275,11
281,13
283,4
290,5
294,1
295,4
297,7
298,5
305,7
307,4
308,4
310,13
313,6
319,11
327,6
329,7
330,13
335,8
339,7
342,6
343,0
356,1
358,6
366,5
367,13
369,6
370,6
371,7
376,8
380,4
381,0
391,8
393,11
400,5
401,7
403,4
404,7
407,5
420,8
438,13
440,4
443,3
447,8
448,0
451,7
458,3
460,13
461,4
465,1
471,7
481,6
483,13
486,6
489,7
495,4
502,4
504,13
510,4
513,3
515,7
516,11
517,5
518,13
519,11
536,3
547,5
553,13
560,4
569,7
575,5
577,12
580,4
584,8
585,4
589,7
594,8
606,8
610,0
616,4
617,5
618,3
619,11
629,11
630,7
634,8
635,11
639,4
646,13
647,12
651,13
652,7
653,11
654,11
666,6
670,8
671,13
675,5
676,6
680,8
682,4
685,6
691,3
698,4
700,4
712,13
714,7
717,6
735,4
737,5
748,12
752,6
754,6
758,5
759,12
760,7
764,3
769,5
778,8
779,7
794,12
797,8
800,8
805,7
806,8
822,4
824,3
826,6
835,4
841,11
857,6
859,5
861,13
865,8
868,5
874,3
876,13
879,6
891,6
895,13
898,11
903,5
904,13
914,4
915,5
921,13
924,5
925,4
929,1
931,11
940,7
948,11
950,7
955,7
956,6
963,4
969,11
975,4
976,13
978,8
983,6
994,11
998,4
1003,8
1004,8
1006,12
1008,5
1013,7
1018,8
1022,4
1025,4
1028,11
1033,0
1035,3
1036,7
1040,4
1043,4
1051,3
1052,5
1060,6
1069,3
1070,4
1074,3
1083,6
1084,8
1085,4
1089,4
1090,4
1093,8
1110,4
1117,11
1131,7
1134,7
1136,7
1139,8
1141,7
1143,6
1150,12
1154,5
1158,13
1159,13
1165,13
1171,4
1173,4
1177,4
1200,4
1205,8
1221,4
1222,0
1226,11
1227,8
1229,13
1239,5
1240,11
1250,8
1253,4
1256,6
1261,7
1264,7
1267,4
1272,7
1273,6
1290,7
1297,4
1301,5
1317,6
1329,5
1343,7
1344,1
1351,0
1353,7
1366,8
1369,0
1375,4
1381,8
1382,13
1387,5
1388,8
1394,11
1395,7
1402,4
1404,11
1414,3
1415,4
1416,13
1432,13
1436,3
1437,4
1444,1
1448,7
1449,6
1451,7
1452,7
1456,3
1459,11
1460,6
1462,5
1468,5
1469,3
1481,3
1482,3
1485,6
1486,11
1487,6
1493,1
1495,6
1498,5
1501,3
1502,3
1507,5
1508,7
1509,5
1518,5
1524,11
1529,3
1531,5
1540,3
1542,7
1553,4
1566,7
1581,7
1587,1
1596,5
1597,5
1600,5
1609,5
1617,11
1623,1
1629,5
1634,6
1643,13
1644,7
1647,6
1651,11
1659,1
1664,3
1666,5
1668,1
1680,5
1686,11
1693,5
1696,7
1700,13
1702,5
1709,11
1713,7
1715,5
1718,5
1724,11
1734,3
1737,7
1738,5
1739,5
1743,7
1745,5
1746,3
1753,5
1763,3
1766,1
1768,3
1773,11
1797,3
1801,1
1807,6
1808,7
1809,11
1822,5
1823,5
1830,5
1835,11
1841,7
1843,6
1846,3
1847,11
1851,11
1853,3
1858,1
1870,7
1876,7
1880,6
1887,11
1891,11
1896,4
1903,3
1904,5
1905,11
1907,1
1911,11
1913,7
1916,5
1929,5
1930,11
1940,6
1953,1
1954,5
1957,7
1966,5
1969,7
1970,11
1976,3
1982,3
1986,7
1992,2
2000,13
2002,6
2006,6
2008,6
2009,3
2013,3
2024,6
2025,2
2031,3
2033,3
2039,13
2044,3
2047,13
2056,6
2057,13
2060,2
2061,3
2062,2
2063,6
2071,2
2074,3
2080,3
2085,6
2087,13
2099,6
2102,3
2106,13
2109,2
2113,2
2123,4
2139,3
2145,3
2148,6
2151,3
2153,3
2154,3
2165,3
2169,13
2170,9
2172,3
2178,13
2180,13
2181,3
2191,13
2196,6
2198,13
2202,2
2204,3
2208,3
2219,2
2220,9
2221,12
2224,3
2229,3
2230,2
2231,9
2234,9
2235,9
2238,10
2239,7
2241,2
2243,9
2252,12
2255,9
2257,3
2267,12
2273,2
2275,9
2279,10
2281,10
2288,10
2291,3
2292,9
2293,12
2295,10
2297,2
2299,3
2306,10
2319,3
2320,2
2323,12
2325,10
2329,10
2333,2
2336,3
2338,3
2342,12
2344,4
2371,10
2372,2
2384,12
2391,9
2399,9
2403,10
2406,12
2410,12
2419,2
2427,2
2431,12
