k,inertia,silhouette
2,4354.70458984375,0.15465133
3,3712.62939453125,0.17873529
4,3372.00927734375,0.19201894
5,3109.4365234375,0.19034953
6,2900.4140625,0.19972439
7,2761.29345703125,0.20957504
8,2529.91357421875,0.20721453
9,2403.1767578125,0.21773416
10,2285.604248046875,0.20812389
11,2137.61181640625,0.23849256
12,2043.673583984375,0.23057021
13,1953.97412109375,0.23147677
14,1821.394287109375,0.2477121
15,1752.6285400390625,0.25469375
16,1682.142333984375,0.25898856
17,1614.2662353515625,0.26850814
18,1565.425537109375,0.26519004
19,1534.429443359375,0.26568538
20,1471.1285400390625,0.27300447
21,1427.151611328125,0.25803414
22,1360.635009765625,0.27901754
23,1302.4610595703125,0.29228115
