cluster,sequence_index,distance_to_centroid
0,1222,0.5386280877898927
0,166,0.5481163293228022
0,59,0.7859533319469377
0,381,0.8366024289573301
0,1369,0.8465907846412295
1,1668,1.1793486451766324
1,1493,1.2444407651011942
1,160,1.2583120295467012
1,117,1.2969350988167905
1,1587,1.2979536122042106
2,1992,1.5000945794478315
2,2297,1.5656309349589967
2,2427,1.5903340031581203
2,2419,1.6176908359562607
2,2320,1.8311030703025002
3,2044,1.1904782848848212
3,2291,1.194334285697265
3,2257,1.2278853678978796
3,2338,1.250541007058158
3,1481,1.269491881141365
4,963,0.961378718879025
4,121,1.0229455466253161
4,159,1.1063879080566497
4,495,1.108642610417606
4,682,1.2059230917775565
5,96,1.4470100927563696
5,1904,1.4510164637894472
5,903,1.4554641529858223
5,1609,1.4780542666864578
5,1753,1.4788324596800722
6,1634,1.3740227524370274
6,1880,1.4860794505974373
6,1807,1.5289706702324608
6,1485,1.5845985718141145
6,1487,1.6418134837108878
7,1913,1.1203111031608926
7,1808,1.1657040734465856
7,1131,1.3422426089399166
7,1452,1.3879560256278407
7,1870,1.3964669605943758
8,670,1.245333097633676
8,797,1.2511113076829112
8,680,1.2553718507339022
8,778,1.2582839051392973
8,1381,1.2788650411252998
9,2231,0.5066868863747259
9,2275,0.589059473689731
9,2235,0.7298405956301635
9,2234,0.7363112108145798
9,2255,0.7445131262913113
10,2281,0.3924901696633291
10,2325,0.401563217115036
10,2279,0.494238713087733
10,2288,0.5069966710749603
10,2295,0.6804851682467978
11,629,1.3291222540943113
11,1226,1.4164593340114011
11,275,1.4649909931938216
11,122,1.516342244073675
11,619,1.5568595054161938
12,45,1.2742401472145717
12,794,1.307392073809092
12,2342,1.3671499401714302
12,2221,1.3703401786083318
12,2267,1.3755466568185797
13,87,1.0124931949632938
13,861,1.0513868535285762
13,0,1.190462544725843
13,141,1.2387933338736
13,712,1.2506913371711876
