sequence_index,cluster
4,1
15,2
16,1
20,5
23,7
24,2
25,5
27,7
31,1
33,1
55,4
56,6
57,7
61,6
62,6
63,2
66,2
72,2
83,6
89,6
92,7
100,5
102,4
110,6
113,7
114,1
116,6
119,7
124,2
129,2
132,2
134,5
135,6
153,1
154,7
158,2
170,2
171,4
173,4
176,2
183,6
185,4
189,7
191,4
194,5
195,2
206,5
207,4
215,6
218,4
222,6
224,2
229,6
234,6
241,6
243,6
257,4
258,5
259,4
260,6
261,6
264,4
280,4
282,1
286,4
289,6
301,6
303,2
309,6
311,7
320,4
322,2
326,5
333,4
336,2
337,4
338,6
344,1
346,2
352,6
354,7
355,6
362,7
372,5
382,2
387,5
394,2
398,6
399,6
414,4
417,2
419,7
423,6
427,4
428,5
429,4
432,4
439,7
453,4
454,5
456,4
474,4
488,1
492,6
497,4
499,2
500,6
505,5
522,5
524,5
527,4
529,7
533,2
534,2
541,7
546,5
555,4
556,4
557,5
558,5
563,1
570,6
571,6
582,5
587,1
588,4
591,2
592,2
596,4
597,6
600,5
602,2
611,2
623,4
624,2
644,4
655,4
668,1
672,2
674,2
677,2
678,6
683,5
695,7
696,5
697,2
699,1
701,6
707,2
721,7
724,6
725,7
729,2
734,4
739,5
745,7
746,4
747,6
749,5
751,4
753,1
763,5
766,2
771,6
772,6
774,4
782,1
787,6
789,2
792,5
793,7
795,6
808,6
809,4
813,2
814,5
819,4
831,5
837,6
846,1
847,1
848,5
858,7
885,2
888,4
893,4
900,6
902,7
907,7
909,2
918,2
920,2
928,5
936,5
938,5
942,2
949,5
957,6
961,1
964,7
966,2
970,4
971,4
972,2
979,7
980,5
993,1
1007,2
1011,1
1014,4
1016,2
1021,6
1031,4
1039,2
1044,6
1047,7
1048,4
1053,5
1061,7
1067,2
1068,7
1076,2
1087,6
1094,4
1105,7
1116,5
1119,2
1124,6
1125,6
1130,7
1140,6
1148,5
1156,7
1161,2
1168,4
1172,6
1180,1
1181,2
1187,2
1192,6
1196,5
1197,7
1201,7
1203,5
1204,5
1209,4
1211,2
1216,7
1228,4
1231,7
1237,1
1245,6
1246,4
1252,4
1254,7
1257,1
1262,7
1265,1
1266,4
1270,6
1275,2
1277,7
1278,2
1279,5
1284,2
1293,4
1295,6
1305,4
1308,2
1311,6
1313,2
1315,7
1318,4
1319,2
1331,1
1336,2
1345,2
1352,2
1354,2
1358,2
1360,5
1367,2
1371,2
1372,6
1373,4
1374,1
1383,1
1389,5
1398,5
1405,6
1408,7
1411,4
1413,1
1419,2
1423,5
1424,7
1430,4
1441,6
1443,5
1446,5
1453,4
1457,1
1465,7
1471,7
1478,4
1479,6
1494,6
1500,6
1504,7
1510,7
1536,1
1547,4
1551,2
1552,4
1556,6
1558,6
1559,1
1563,6
1574,1
1576,4
1577,5
1580,6
1582,2
1584,4
1586,2
1598,2
1601,1
1603,1
1604,6
1611,6
1614,2
1615,1
1622,1
1641,6
1649,4
1650,6
1654,2
1674,1
1694,7
1695,1
1704,4
1712,6
1716,2
1726,4
1735,6
1740,4
1741,1
1748,4
1751,7
1755,2
1774,2
1783,1
1786,1
1789,4
1794,7
1800,6
1818,1
1819,7
1820,7
1824,6
1826,2
1828,6
1829,4
1832,1
1838,6
1848,7
1860,1
1867,6
1869,6
1871,6
1878,2
1883,2
1885,6
1888,7
1889,4
1890,2
1898,1
1901,4
1902,6
1906,4
1908,4
1914,1
1915,1
1919,4
1920,7
1923,6
1927,6
1928,1
1933,2
1938,1
1941,1
1943,4
1945,6
1948,4
1951,7
1952,2
1955,4
1979,6
1981,1
1985,6
1994,3
1995,0
1999,3
2007,0
2011,3
2015,5
2026,3
2028,4
2030,3
2032,3
2036,0
2041,5
2042,3
2046,3
2054,3
2059,3
2066,0
2075,3
2081,3
2095,3
2097,4
2105,5
2111,0
2114,0
2115,0
2120,0
2124,5
2130,3
2134,3
2142,5
2150,4
2174,5
2190,3
2192,5
2194,0
2200,3
2201,7
2203,0
2206,5
2207,0
2212,5
2214,5
2216,7
2218,7
2225,4
2233,5
2244,3
2245,6
2262,5
2266,6
2284,6
2287,5
2296,0
2303,3
2310,1
2311,4
2314,4
2316,4
2322,3
2324,5
2326,3
2327,3
2330,6
2331,3
2335,7
2343,5
2347,7
2363,4
2367,4
2375,5
2383,6
2386,6
2400,6
2409,3
2411,2
2415,4
2417,3
2424,6
2428,5
2429,3
