k,inertia,silhouette
2,3023.41455078125,0.22863981
3,2761.6943359375,0.15763491
4,2541.193359375,0.13182579
5,2345.5654296875,0.1398438
6,2214.953125,0.13757192
7,2081.025634765625,0.14810857
8,1988.173583984375,0.1489014
9,1917.0068359375,0.14887787
10,1840.9600830078125,0.15292485
11,1795.744873046875,0.15709709
12,1743.626953125,0.14305337
13,1699.3245849609375,0.14361213
14,1645.98876953125,0.14167441
15,1586.3955078125,0.15762797
16,1560.65185546875,0.15655623
17,1515.375244140625,0.15502517
18,1473.72314453125,0.16101006
19,1451.600341796875,0.16181755
20,1406.887939453125,0.17499734
21,1380.670654296875,0.16424353
22,1354.1031494140625,0.16127889
23,1309.008056640625,0.17470035
