cluster,sequence_index,distance_to_centroid
0,2194,1.217540084272551
0,2036,1.302756368558213
0,2007,1.3849605769079636
0,2111,1.4010215567006117
0,2115,1.4833176521424571
1,587,1.2645490380407156
1,1622,1.3030557780123548
1,114,1.3073057574936526
1,847,1.3186573503594197
1,344,1.3192005599059313
2,813,1.0796148876653249
2,918,1.1809029946261078
2,885,1.2145735115531333
2,729,1.2429991394912485
2,170,1.2777535569170413
3,2054,1.2997175932034795
3,2046,1.308660723068632
3,2030,1.4493134219492991
3,2081,1.5261722110565614
3,2011,1.5774869905635762
4,1889,1.130524094745845
4,1266,1.2423927398587036
4,1955,1.2582652161524261
4,623,1.3010931268653763
4,1252,1.3018910434633768
5,831,0.7824071466694353
5,387,1.0189636996854425
5,1443,1.0429887219462888
5,1148,1.0472905717371561
5,2142,1.0900829191831172
6,1580,1.1619531562355474
6,837,1.325933138257949
6,1405,1.3333841845237
6,724,1.3571153579097224
6,423,1.4307053760599004
7,1216,1.3094313385208218
7,1751,1.3639595679699983
7,1888,1.3872542957172664
7,1951,1.4193986661673215
7,1262,1.473336654894786
